id;primary_holder_name;payment_amount;payment_date;utr_number;reference_number;payment_status;payment_advice_id
1;Dollar;51560;2022-07-12;wireless portals Handmade;Cambridgeshire withdrawal;APPROVED;1
2;USB Account California;82340;2022-07-12;Cambridgeshire Tuna port;e-commerce;APPROVED;2
3;bypassing Concrete;10954;2022-07-12;Jewelery solid;eco-centric green;APPROVED;3
4;IB;44728;2022-07-12;Utah intuitive Dong;neural Portugal Garden;PAID;4
5;enhance capacitor;21949;2022-07-12;National Identity;Table blue Technician;APPROVED;5
6;Avon Avon;25406;2022-07-12;copying York eyeballs;software Wooden;PENDING;6
7;red Massachusetts Division;33064;2022-07-12;Stravenue Steel;Maine Personal Movies;PAID;7
8;sky;99591;2022-07-12;Hat Gloves;SDD Ball;PENDING;8
9;copying bus;72415;2022-07-11;one-to-one solid;Shoes payment leverage;PENDING;9
10;Tugrik cross-platform;69196;2022-07-12;functionalities Keyboard generate;interfaces;APPROVED;10
